,Area,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10,Bahamas,0.0,0.0,0.0,0.0,0.0,600.0,800.0,1000.0,1000.0,1200.0,1250.0,1450.0,1698.0,1365.0,1141.0,1558.0,1800.0,1200.0,1200.0,1200.0,1200.0,1100.0,1200.0,1100.0,500.0,500.0,500.0,500.0,500.0,100.0,300.0,300.0,200.0,200.0,200.0,400.0,300.0,300.0,300.0,300.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1240.78,1075.68,1219.5500000000002,1506.1399999999999,2182.84,2625.81,2788.8,2788.8,1905.3500000000001
11,Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,28.0,40.0,23.0,0.0,0.0,43.0,26.0,0.0,300.0,168.0,427.0,510.0,480.0,1420.0,310.0,350.0,504.0,602.0,700.0,700.0,600.0,600.0,600.0,600.0,600.0,1128.0,433.0,346.0,300.0,1994.6299999999999,1994.6299999999999,1994.6299999999999,1994.6299999999999,1994.6299999999999,1350.36,2499.28,1376.53,2752.33,1994.6299999999999,1994.6299999999999,1994.6299999999999,1994.6299999999999,1994.6299999999999,1994.6299999999999,1994.6299999999999,1994.6299999999999,1994.6299999999999,1994.6299999999999
12,Bangladesh,22500.0,27000.0,49000.0,45000.0,54200.0,75800.0,96000.0,108000.0,129700.0,143200.0,114200.0,182106.0,182013.0,129111.0,215409.0,243353.0,340929.0,356210.0,407355.0,416688.0,400028.0,461279.0,543428.0,581751.0,540682.0,616556.0,705787.0,776468.0,906956.0,933622.0,1004400.0,998762.0,945583.0,1049367.0,1195000.0,1230525.0,1109200.0,1170500.0,1365700.0,1320198.0,1449623.0,1556839.0,1318676.0,1389777.0,1564390.0,1522338.0,1441357.0,1561100.0,1472297.0,1659202.0,1963760.0,1997600.0,1954820.0,2141340.0,2311680.0,2246980.0,2356000.0,2475220.0,2517740.0,2567300.0
13,Barbados,5126.0,7639.0,7145.0,9147.0,5509.0,6214.0,7111.0,5812.0,4999.0,5700.0,4300.0,4560.0,5230.0,6500.0,4200.0,4800.0,3591.0,5900.0,5700.0,5800.0,6000.0,6000.0,4441.0,4667.0,3332.0,3800.0,3100.0,3100.0,3000.0,2700.0,2700.0,2700.0,2700.0,2700.0,3200.0,3200.0,3200.0,3000.0,3000.0,3000.0,3000.0,642.0,1116.0,2785.0,1418.0,1807.0,1737.0,1757.0,1001.0,1621.0,1059.0,1995.22,1268.8999999999999,720.1,972.52,796.63,1034.98,545.92,380.78,354.13
14,Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395000.0,752000.0,540000.0,523000.0,777000.0,855000.0,925000.0,791000.0,805000.0,760000.0,763700.0,755300.0,815100.0,929400.0,1285100.0,1205100.0,1309600.0,1558500.0,1497000.0,1680200.0,1498594.0,1425190.0,1218623.0,1102475.0,833351.0,815790.0,892133.0,879118.0,1022922.0
15,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271417.0,283417.0,283316.0,280211.0,274382.0,281139.0,189468.0,236892.0,271005.0,262190.0,263827.0,262231.0,248393.0,253394.0,250416.0,251535.84999999998,255547.0,255396.0,255396.0
16,Belgium-Luxembourg,387308.0,464366.0,479720.0,431002.0,465378.0,500221.0,528136.0,480185.0,533928.0,517326.0,514810.0,532578.0,553227.0,521992.0,450985.0,461259.0,453439.0,470636.0,444739.0,447403.0,416020.0,424000.0,451000.0,417200.0,425100.0,425500.0,416900.0,415000.0,401500.0,384000.0,354000.0,330000.0,321000.0,319000.0,309000.0,314000.0,307000.0,309000.0,304000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Belize,360.0,918.0,1059.0,278.0,985.0,1195.0,1700.0,2130.0,2532.0,3300.0,1055.0,1614.0,2609.0,2100.0,2100.0,900.0,607.0,1612.0,1552.0,1895.0,1449.0,1182.0,1716.0,1973.0,2421.0,3770.0,4085.0,4481.0,4900.0,5100.0,5200.0,5800.0,6400.0,4600.0,5000.0,3300.0,4800.0,5638.0,6095.0,6140.0,4700.0,25741.0,26766.0,5506.0,5670.0,6248.0,4261.0,3483.0,8865.0,4351.0,17603.0,10925.5,30350.6,29188.980000000003,33659.49,36367.41,30009.11,21481.34,41380.15,39455.93
18,Benin,591.0,597.0,425.0,810.0,1100.0,750.0,2495.0,2986.0,4540.0,5700.0,5300.0,5946.0,4376.0,4581.0,2414.0,2000.0,1100.0,1920.0,1330.0,862.0,2766.0,3100.0,5400.0,7361.0,11494.0,10819.0,9469.0,6914.0,3300.0,11003.0,11817.0,15325.0,17238.0,17055.0,36000.0,30681.0,38968.0,37707.0,56700.0,35200.0,31100.0,41735.0,2126.0,145.0,1226.0,33.0,614.0,801.0,16360.0,22835.0,11100.0,26755.09,13506.150000000001,21833.68,359.73,27858.11,45.91,102575.23,155298.28,112588.44
19,Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,249.0,190.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1083.0,1098.0,1169.0,1262.0,1153.0,1228.0,1166.0,2396.0,1010.0,1308.0,1070.94,1217.94,1422.91,1479.01,1406.9099999999999,1254.28,2000.69,1345.3400000000001,1345.3400000000001
