,Area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
22,Botswana,51.0,57.0,51.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Brazil,99390.0,116698.88,134007.78,151316.66,168625.55,185934.45,203243.34,220552.22,237861.12,255170.0,280846.0,303046.0,291104.0,364892.0,429450.0,464464.0,477432.0,608062.0,625274.0,671484.0,685160.0,690052.0,693166.0,735556.0,704672.0,791292.0,754352.0,754352.0,754352.0,754352.0,754352.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Brunei Darussalam,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,6.300000000000001,29.759999999999998,40.95,17.94,83.78999999999999,115.47,27.18,4.859999999999999,35.91,61.62,41.08,41.08,41.08,41.08,41.08,41.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Bulgaria,7812.0,7812.0,11718.0,7554.5,7297.0,7039.5,6782.0,6524.5,6267.0,6009.5,5752.0,5494.5,5237.0,4979.5,4722.0,4464.5,4207.0,3949.5,3692.0,3434.5,3177.0,2919.5,2662.0,2394.0,2002.0,3083.8,7518.0,6768.0,10134.0,13326.0,8440.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Burkina Faso,58.2,58.2,87.30000000000001,51.0,18.0,9.120000000000001,79.4,152.7,884.22,189.79000000000002,153.54,117.31,81.08,44.84,4.16,185.76999999999998,219.54000000000002,584.9,382.37,264.86,885.78,1686.0,1686.0,1686.0,1686.0,1686.0,1686.0,1686.0,1686.0,1686.0,1686.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Burundi,184.16,184.16,276.24,290.96999999999997,253.35,432.59999999999997,621.3,339.68,321.87,450.71999999999997,329.61,217.68,294.3,791.1,1524.78,914.49,571.53,1237.98,1369.32,360.33,534.4899999999999,156.64000000000001,202.26999999999998,1912.12,223.19,217.64,150.78,100.52,100.52,100.52,100.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Cabo Verde,2.0,2.0,2.0,2.0,6.0,2.04,1.5,5.22,16.08,28.0,17.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cameroon,6607.32,3488.3900000000003,4976.62,2490.64,1293.68,145.05,539.4399999999999,1890.36,773.06,1951.0,1635.0,2061.0,4393.09,4499.4800000000005,5060.92,4518.81,5516.570000000001,5649.26,5198.87,4646.31,6949.38,7937.77,8021.4800000000005,9072.31,10959.1,11676.28,9662.25,14137.27,14643.19,14643.19,14643.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Canada,88504.0,58955.0,58774.0,58593.0,87528.0,64469.94,70527.88,76585.82,82643.78,88701.72,79436.86,77002.0,68529.14,71256.28,72327.42,72764.58,73171.22,90292.9,107414.6,109058.79999999999,122100.0,124214.4,147017.8,163319.6,152628.0,150636.6,181852.0,196608.0,175264.0,157786.0,157786.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Central African Republic,0.08,0.08,0.12,0.75,6.48,68.61,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,45.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Chad,193.0,180.0,135.0,15.0,45.0,6.0,3.0,126.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Chile,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,41777.0,28529.09,26312.18,24095.26,21878.35,27200.829999999998,19661.44,19661.44,19661.44,19661.44,19661.44,19661.44,19661.44,19661.44,19661.44,19661.44,19661.44,19661.44,19661.44,19661.44,19661.44,19661.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,China,358035.77,356464.77,371847.84,389395.92,449435.63,498931.2,513802.79,547522.14,573659.31,627304.52,596771.56,579134.21,597234.83,601010.15,619392.13,645485.8,677910.94,709720.9,716246.14,723762.8300000001,738491.51,753113.79,760144.72,763361.26,754509.85,747409.11,731644.16,701963.04,645849.43,602788.5,546751.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"China, Hong Kong SAR",340.0,281.0,248.0,186.0,176.0,118.0,90.8,91.6,92.4,93.2,141.0,159.0,229.0,252.0,153.0,135.0,143.0,135.0,165.0,138.0,123.0,189.0,167.0,171.0,173.0,153.0,194.0,173.0,203.0,164.0,165.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"China, Taiwan Province of",19908.0,19908.0,19908.0,19908.0,19908.0,19908.0,19908.0,18728.0,17862.0,22882.0,18014.0,16952.0,21094.0,20286.0,19406.0,18456.0,18028.0,18984.0,17560.0,17178.0,15700.0,16508.0,18792.0,19264.0,17238.0,18592.0,19008.0,21098.0,21098.0,21098.0,21098.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"China, mainland",337833.03,336302.03,351707.1,369275.18,429320.89,478868.45999999996,493739.25,528637.8,555640.17,604264.58,578598.8200000001,562011.47,575908.09,580456.6699999999,599820.11,626862.12,659692.98,690551.78,698469.2,706476.33,722689.5,736460.19,741216.9,743957.94,737130.83,728568.11,712362.34,680605.79,624471.93,581437.0,525400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Colombia,36116.58,33634.0,30611.88,29923.62,34102.68,40312.46,36262.0,47965.0,182009.0,198030.0,227454.0,171030.59999999998,168046.52,177544.3,211028.38,235762.9,196657.26,164878.12,97077.94,102870.26,97236.92,107594.0,97455.46,109126.76,147488.68,67378.6,64784.0,75398.0,75546.0,139724.0,73422.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Comoros,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.34,1.28,1.22,1.16,1.1,1.04,0.98,0.54,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Congo,54.0,60.0,71.0,122.0,33.4,36.4,42.4,26.47,24.53,22.62,20.68,18.75,16.810000000000002,14.91,12.97,11.04,9.1,7.1899999999999995,5.25,3.32,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Cook Islands,2.0,2.0,2.0,2.0,1.72,2.13,2.7,4.6899999999999995,4.54,4.3,4.3,3.7899999999999996,6.57,7.57,7.87,8.620000000000001,9.129999999999999,9.19,10.3,9.49,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Costa Rica,2894.3,2894.3,2894.3,9478.3,2950.26,8339.27,16341.58,24472.32,23694.0,45142.0,42821.0,32112.0,23964.75,22669.47,23048.21,22618.95,22397.68,37380.55,39103.53,36210.47,42487.049999999996,38173.87,25151.07,24679.65,24208.22,23736.79,23265.38,22793.949999999997,20569.04,23732.04,28227.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Croatia,0.0,0.0,4608.0,5350.65,6093.35,6836.0,9384.0,6083.27,5870.54,5657.81,5445.06,5232.34,5019.6,4806.88,4594.13,4367.91,4427.68,4158.4400000000005,4905.21,4269.98,3210.74,3364.63,3518.54,5387.84,6255.2,6877.29,5518.0,4650.0,4948.0,4590.0,4833.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
