Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F
117,'410,Republic of Korea,1352,Fungicides – Seed treatments,5157,Agricultural Use,tonnes,0,I,0,I,0,I,0,I,0,I,0,I,0,I,58,A,39,A,62,A,71,A,62,A,60,A,38,A,44,A,50,A,40,A,35,A,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I
117,'410,Republic of Korea,1353,Insecticides – Seed Treatments,5157,Agricultural Use,tonnes,0,I,0,I,0,I,0,I,0,I,0,I,0,I,149,A,219,A,250,A,242,A,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I
117,'410,Republic of Korea,1341,Plant Growth Regulators,5157,Agricultural Use,tonnes,2463,A,2872,A,3026,A,2944,A,3062,I,1653,A,1540,A,923,A,826,A,1129,A,1142,A,1359,A,1448,A,1140,A,1400,A,999,A,1097,A,1020,A,1075,A,844,A,517,A,796,A,810,A,726,A,708,A,644,A,666,A,405,A,390,A,489,A,541,A
117,'410,Republic of Korea,1355,Other Pesticides nes,5157,Agricultural Use,tonnes,0,I,0,I,0,I,0,I,786.5,I,1573,A,1555,A,1355,A,853,A,1486,A,1127,A,1205,A,1052,A,1208,A,1195,A,1188,A,1656,A,1970,A,1395,A,1085,A,1253,A,1170,A,1270,A,1129,A,1154,A,1149,A,1216,A,1322,A,1152,A,903,A,1108,A
146,'498,Republic of Moldova,1357,Pesticides (total),5157,Agricultural Use,tonnes,,,,,2897,E,2501,E,2553.55,E,2606.11,E,2658.66,E,2711.21,E,2763.76,E,2816.32,E,2868.87,E,2876.28,E,2606.44,E,2715.73,E,2915.4,E,2394.93,E,2466.37,E,2556.03,E,2924.63,E,2308.27,E,2466.13,E,2453.95,E,2316.22,E,2409.25,E,2500.4,E,2739,E,2981,E,3116,E,3349.45,E,3381.2,E,3354.9,E
146,'498,Republic of Moldova,1309,Insecticides,5157,Agricultural Use,tonnes,,,,,994,A,571,A,524.8,I,478.6,I,432.4,I,386.2,I,340,I,293.8,I,247.6,A,224.55,A,239.1,A,255.7,A,272.91,A,221.33,A,227,A,305.2,A,357.58,A,272.18,A,241.28,A,230.86,A,268.55,A,276.62,A,242,A,186,A,358,E,404.1,A,423.9,A,458.6,A,576.6,A
146,'498,Republic of Moldova,1310,Insecticides – Chlorinated Hydrocarbons,5157,Agricultural Use,tonnes,,,,,55,A,62,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,'498,Republic of Moldova,1311,Insecticides – Organo-phosphates,5157,Agricultural Use,tonnes,,,,,750,A,295,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,'498,Republic of Moldova,1312,Insecticides – Carbamates,5157,Agricultural Use,tonnes,,,,,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,'498,Republic of Moldova,1313,Insecticides – Pyrethroids,5157,Agricultural Use,tonnes,,,,,94,A,187,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
